dimension,category,value,percentage,basis,source_region
Country of birth,Southern Asia,389467,20.0,Victoria overseas-born residents by country/region of birth; top 8 plus other,Victoria
Country of birth,"United Kingdom, Channel Islands and Isle of Man",212739,10.92,Victoria overseas-born residents by country/region of birth; top 8 plus other,Victoria
Country of birth,Chinese Asia (includes Mongolia),208672,10.72,Victoria overseas-born residents by country/region of birth; top 8 plus other,Victoria
Country of birth,Maritime South-East Asia,175736,9.02,Victoria overseas-born residents by country/region of birth; top 8 plus other,Victoria
Country of birth,Mainland South-East Asia,147924,7.6,Victoria overseas-born residents by country/region of birth; top 8 plus other,Victoria
Country of birth,South Eastern Europe,125901,6.47,Victoria overseas-born residents by country/region of birth; top 8 plus other,Victoria
Country of birth,Middle East,112739,5.79,Victoria overseas-born residents by country/region of birth; top 8 plus other,Victoria
Country of birth,New Zealand,99344,5.1,Victoria overseas-born residents by country/region of birth; top 8 plus other,Victoria
Country of birth,Other countries/regions,474775,24.38,Victoria overseas-born residents by country/region of birth; top 8 plus other,Victoria
Language spoken,Mandarin,221798,12.54,Victoria residents speaking non-English languages at home; top 10 plus other,Victoria
Language spoken,Vietnamese,118801,6.71,Victoria residents speaking non-English languages at home; top 10 plus other,Victoria
Language spoken,Greek,107158,6.06,Victoria residents speaking non-English languages at home; top 10 plus other,Victoria
Language spoken,Punjabi,104949,5.93,Victoria residents speaking non-English languages at home; top 10 plus other,Victoria
Language spoken,Italian,92320,5.22,Victoria residents speaking non-English languages at home; top 10 plus other,Victoria
Language spoken,Arabic,91441,5.17,Victoria residents speaking non-English languages at home; top 10 plus other,Victoria
Language spoken,Cantonese,82432,4.66,Victoria residents speaking non-English languages at home; top 10 plus other,Victoria
Language spoken,Hindi,66930,3.78,Victoria residents speaking non-English languages at home; top 10 plus other,Victoria
Language spoken,Sinhalese,49501,2.8,Victoria residents speaking non-English languages at home; top 10 plus other,Victoria
Language spoken,Spanish,43181,2.44,Victoria residents speaking non-English languages at home; top 10 plus other,Victoria
Language spoken,Other non-English languages,790773,44.69,Victoria residents speaking non-English languages at home; top 10 plus other,Victoria
Religious affiliation,Christianity,2657748,43.82,"Victoria religious affiliation; major classified groups, excluding not stated/inadequately described",Victoria
Religious affiliation,No religion / secular,2553723,42.11,"Victoria religious affiliation; major classified groups, excluding not stated/inadequately described",Victoria
Religious affiliation,Islam,273028,4.5,"Victoria religious affiliation; major classified groups, excluding not stated/inadequately described",Victoria
Religious affiliation,Hinduism,214058,3.53,"Victoria religious affiliation; major classified groups, excluding not stated/inadequately described",Victoria
Religious affiliation,Buddhism,204493,3.37,"Victoria religious affiliation; major classified groups, excluding not stated/inadequately described",Victoria
Religious affiliation,Sikhism,91745,1.51,"Victoria religious affiliation; major classified groups, excluding not stated/inadequately described",Victoria
Religious affiliation,Judaism,46645,0.77,"Victoria religious affiliation; major classified groups, excluding not stated/inadequately described",Victoria
Religious affiliation,Other religions,23566,0.39,"Victoria religious affiliation; major classified groups, excluding not stated/inadequately described",Victoria
